ASPECT: asus. CATEGORY: company general. OPINION: null. SENTIMENT: negative #####  . asus has not responded to numerous request for an update of the status of repair . ##### EAIO
ASPECT: machine. CATEGORY: laptop designfeatures. OPINION: pleasing. SENTIMENT: positive #####  . the addition of the play store puts the machine into a pleasing higher category . ##### EAEO
ASPECT: keyboard. CATEGORY: keyboard usability. OPINION: comfortable. SENTIMENT: positive #####  . i ' m actually pretty sure i read that the keyboard was designed with a focus on comfort , and after using it for a few days , that ' s exactly what i ' ve found . ##### EAEO
ASPECT: machine. CATEGORY: laptop general. OPINION: awesome. SENTIMENT: positive #####  . this is an awesome machine . ##### EAEO
ASPECT: keyboard, keyboard. CATEGORY: keyboard operationperformance, keyboard designfeatures. OPINION: responsive, good. SENTIMENT: positive, positive #####  . the keyboard is responsive and good . ##### EAEO
ASPECT: computer, computer. CATEGORY: laptop general, laptop price. OPINION: great, great. SENTIMENT: positive, positive #####  . this computer was great when it was working , and the price was great when it was working . ##### EAEO
ASPECT: machine, machine. CATEGORY: laptop usability, laptop operationperformance. OPINION: useable, functionable. SENTIMENT: positive, positive #####  . i ' ve used this machine to write and edit video , do some basic 3d modeling in blender , and it ' s functionable and useable for those tasks . ##### EAEO
ASPECT: unit. CATEGORY: powersupply operationperformance. OPINION: null. SENTIMENT: negative #####  . my unit refused to charge past 90 % and then only when the laptop was in clamshell mode and not used . ##### EAIO
ASPECT: touch pad. CATEGORY: hardware operationperformance. OPINION: failed. SENTIMENT: negative #####  . touch pad failed after just one month of use . ##### EAEO
ASPECT: null. CATEGORY: hardware operationperformance. OPINION: well. SENTIMENT: neutral #####  . it works well for internet browsing and e - mail but i was hoping for much more . ##### IAEO
ASPECT: it. CATEGORY: laptop operationperformance. OPINION: good. SENTIMENT: positive #####  . it works good but right click on mouse pad wont wok have to use external mouse ##### EAEO
ASPECT: c302. CATEGORY: laptop operationperformance. OPINION: excellently. SENTIMENT: positive #####  . the c302 works excellently . ##### EAEO
ASPECT: bootup, optane memory. CATEGORY: os operationperformance, memory operationperformance. OPINION: love, love. SENTIMENT: positive, positive #####  . i love the bootup and the optane memory . ##### EAEO
ASPECT: null. CATEGORY: laptop general. OPINION: frustrating. SENTIMENT: negative #####  . it is very frustrating . ##### IAEO
ASPECT: laptop. CATEGORY: laptop general. OPINION: null. SENTIMENT: positive #####  . this laptop exceeds my expectations for a mid - price laptop . ##### EAIO
ASPECT: laptop, laptop, laptop, laptop. CATEGORY: laptop general, laptop designfeatures, laptop operationperformance, laptop usability. OPINION: great, lightweight, fast, simple. SENTIMENT: positive, positive, positive, positive #####  . this is a great lightweight laptop that is very fast and simple to use . ##### EAEO
ASPECT: trackpad, touchscreen. CATEGORY: keyboard general, display general. OPINION: excellent, excellent. SENTIMENT: positive, positive #####  . trackpad and touchscreen are both excellent . ##### EAEO
ASPECT: asus product. CATEGORY: company general. OPINION: null. SENTIMENT: negative #####  . i will never buy an asus product again and urge others to re - think about this brand . ##### EAIO
ASPECT: laptop. CATEGORY: laptop quality. OPINION: high. SENTIMENT: positive #####  . this laptop has a high quality feel to it . ##### EAEO
ASPECT: null. CATEGORY: support general. OPINION: null. SENTIMENT: negative #####  . i ' m in the us and they want to charge me $ 60 cad for diagnosis only . ##### IAIO
ASPECT: battery life. CATEGORY: battery general. OPINION: stunning. SENTIMENT: positive #####  . the battery life is stunning . ##### EAEO
ASPECT: laptop, msi headset. CATEGORY: laptop general, multimediadevices general. OPINION: like, nice. SENTIMENT: positive, positive #####  . i also really like the msi headset that came with the laptop as a bonus ; it ' s very nice . ##### EAEO
ASPECT: amazon, asus. CATEGORY: support general, support general. OPINION: null, null. SENTIMENT: negative, negative #####  . amazon does not seem to want to help , and asus has refused to acknowledge the issue . ##### EAIO
ASPECT: null, null. CATEGORY: laptop general, laptop general. OPINION: recommend, recommend. SENTIMENT: positive, positive #####  . i recommend buying it . ##### IAEO
ASPECT: laptop. CATEGORY: laptop general. OPINION: null. SENTIMENT: positive #####  . this laptop is absolutely everything i imagined . ##### EAIO
ASPECT: it. CATEGORY: laptop connectivity. OPINION: null. SENTIMENT: positive #####  . it connects to my wifi instantly and never has to reconnect once connected . ##### EAIO
ASPECT: null. CATEGORY: laptop general. OPINION: great. SENTIMENT: positive #####  . this was great to get started in online business and make some extra money . ##### IAEO
ASPECT: amd a12 processor. CATEGORY: cpu operationperformance. OPINION: fast. SENTIMENT: positive #####  . with the amd a12 processor it is very fast for browsing . ##### EAEO
ASPECT: speakers. CATEGORY: multimediadevices general. OPINION: horrible. SENTIMENT: negative #####  . the speakers are horrible . ##### EAEO
ASPECT: celeron processor. CATEGORY: cpu operationperformance. OPINION: slow. SENTIMENT: negative #####  . - the celeron processor is very slow . ##### EAEO
ASPECT: optane drive. CATEGORY: graphics general. OPINION: null. SENTIMENT: negative #####  . optane drive is not working . ##### EAIO
ASPECT: battery. CATEGORY: battery quality. OPINION: solid. SENTIMENT: positive #####  . the battery is solid . ##### EAEO
ASPECT: null. CATEGORY: laptop general. OPINION: good. SENTIMENT: positive #####  . it is a very good laptop . ##### IAEO
ASPECT: power management. CATEGORY: battery general. OPINION: wrong. SENTIMENT: negative #####  . power management is totally wrong . ##### EAEO
ASPECT: finger print scanner. CATEGORY: hardware quality. OPINION: null. SENTIMENT: negative #####  . finger print scanner stopped working after just one month of light use . ##### EAIO
ASPECT: lappy, lappy. CATEGORY: laptop general, laptop general. OPINION: good, happy. SENTIMENT: positive, positive #####  . this is good lappy and i am very happy with it . ##### EAEO
ASPECT: computer. CATEGORY: laptop general. OPINION: null. SENTIMENT: positive #####  . i ' ve had this computer for about a month now and every time i turn it on , i ' m still blown away ! ##### EAIO
ASPECT: windows 10, card slot. CATEGORY: os general, ports general. OPINION: null, null. SENTIMENT: positive, positive #####  . a nice feature for me is the card slot in the side which makes it easy to insert my sd card to access my photos . ##### EAIO
ASPECT: touchscreen chromebook. CATEGORY: laptop price. OPINION: great. SENTIMENT: positive #####  . this touchscreen chromebook is great for the price . ##### EAEO
ASPECT: speaker. CATEGORY: multimediadevices operationperformance. OPINION: null. SENTIMENT: negative #####  . speaker is only good for watching a movie in a quiet room . ##### EAIO
ASPECT: machine, machine, computer, computer. CATEGORY: laptop general, laptop general, laptop general, laptop general. OPINION: great, ' t be disappointed, fun, valuable. SENTIMENT: positive, positive, positive, positive #####  . great machine , can ' t be disappointed , fun to use , valuable in that it allows me to do some basic editing and layout work for my small business . ##### EAEO
ASPECT: null. CATEGORY: laptop designfeatures. OPINION: lightweight. SENTIMENT: positive #####  . it ' s lightweight and fits easily in a tote or backpack . ##### IAEO
ASPECT: companies. CATEGORY: company general. OPINION: null. SENTIMENT: negative #####  . companies will need to learn to make better products with less plastic and fewer harmful chemicals . ##### EAIO
ASPECT: null. CATEGORY: laptop price. OPINION: great. SENTIMENT: positive #####  . the price was great during prime days . ##### IAEO
ASPECT: null. CATEGORY: laptop operationperformance. OPINION: null. SENTIMENT: negative #####  . it freezes up depending on the program you use . ##### IAIO
ASPECT: laptop. CATEGORY: laptop designfeatures. OPINION: null. SENTIMENT: positive #####  . this laptop has a great screen , loads quickly , and looks great with the aluminum case . ##### EAIO
ASPECT: computer. CATEGORY: laptop usability. OPINION: difficulty. SENTIMENT: negative #####  . computer difficulty : set up took some time and couple of problems early on . ##### EAEO
ASPECT: size, size, size. CATEGORY: laptop designfeatures, laptop designfeatures, laptop designfeatures. OPINION: perfect, nice, bright. SENTIMENT: positive, positive, positive #####  . size is perfect , nice and bright . ##### EAEO
ASPECT: c302, intel core m3 processor. CATEGORY: laptop general, cpu general. OPINION: drawn to, drawn to. SENTIMENT: positive, positive #####  . i was drawn to the c302 due to the intel core m3 processor and the features and reviews on the asus web site . ##### EAEO
ASPECT: sound, aux speaker / headphone. CATEGORY: multimediadevices operationperformance, multimediadevices operationperformance. OPINION: low, low. SENTIMENT: negative, negative #####  . the sound is very low and the aux speaker / headphone is also very low . ##### EAEO
ASPECT: null. CATEGORY: laptop price. OPINION: great. SENTIMENT: positive #####  . this is great for the price . ##### IAEO
ASPECT: keyboard, trackpad. CATEGORY: keyboard general, keyboard general. OPINION: love, love. SENTIMENT: positive, positive #####  . i love the keyboard and trackpad . ##### EAEO
ASPECT: wifi, screen. CATEGORY: ports connectivity, display operationperformance. OPINION: null, null. SENTIMENT: negative, negative #####  . wifi dropped 3 times in 10 minutes and screen went blank . ##### EAIO
ASPECT: apple. CATEGORY: company general. OPINION: horrendous. SENTIMENT: negative #####  . apple should be ashamed at the state of their supply chain and the human rights abuses that occur because of their greed . ##### EAEO
ASPECT: product, product, product. CATEGORY: laptop designfeatures, laptop designfeatures, laptop designfeatures. OPINION: small, well built, ideal. SENTIMENT: positive, positive, positive #####  . this small , well built product is ideal for internet cafe ' s , students and anyone who wants a cheap , basic web browser . ##### EAEO
ASPECT: hardware, laptop. CATEGORY: hardware quality, laptop quality. OPINION: null, null. SENTIMENT: negative, negative #####  . the quality of the hardware is on par with that of a hula hoop and the laptop itself seems to be made from some sort of cheap , plasticy material that will likely crack and break within a few months . ##### EAIO
ASPECT: laptop, laptop. CATEGORY: laptop general, laptop general. OPINION: ok, not great. SENTIMENT: neutral, neutral #####  . this is an ok laptop , but not great . ##### EAEO
ASPECT: android apps. CATEGORY: software operationperformance. OPINION: null. SENTIMENT: positive #####  , and here is the comment : you can run android apps and get a lot of the play store apps working conditionally : e . ##### EAIO
ASPECT: chromebook. CATEGORY: laptop designfeatures. OPINION: perfect. SENTIMENT: positive #####  . the chromebook is the perfect size and weight . ##### EAEO
ASPECT: battery life. CATEGORY: battery general. OPINION: null. SENTIMENT: neutral #####  . battery life is around 4 hours . ##### EAIO
ASPECT: computer. CATEGORY: laptop general. OPINION: great. SENTIMENT: positive #####  . great computer . ##### EAEO
ASPECT: null. CATEGORY: multimediadevices operationperformance. OPINION: fine. SENTIMENT: positive #####  . i ' m not much for games , so it doesn ' t matter much to me that it doesn ' t have a dedicated video card ; it runs fine for casual gaming . ##### IAEO
ASPECT: null. CATEGORY: laptop portability. OPINION: light. SENTIMENT: positive #####  . it is very light to carry . ##### IAEO
ASPECT: battery life. CATEGORY: battery quality. OPINION: solid. SENTIMENT: positive #####  . battery life is solid for an affordable chromebook . ##### EAEO
ASPECT: wi - fi. CATEGORY: ports quality. OPINION: null. SENTIMENT: negative #####  . it ' s a bit scary to think that the wi - fi on this laptop is probably the source of many people ' s problems . ##### EAIO
ASPECT: screen. CATEGORY: display designfeatures. OPINION: null. SENTIMENT: neutral #####  . you can choose to have a screen that is ips , tft or va . ##### EAIO
ASPECT: null, null. CATEGORY: laptop operationperformance, laptop operationperformance. OPINION: fast, efficient. SENTIMENT: positive, positive #####  . it is fast and efficient . ##### IAEO
ASPECT: google and partners. CATEGORY: company general. OPINION: great. SENTIMENT: positive #####  . google and partners are great . ##### EAEO
ASPECT: crap. CATEGORY: laptop connectivity. OPINION: null. SENTIMENT: negative #####  . my laptop is a piece of crap . ##### EAIO
ASPECT: hard drive. CATEGORY: memory operationperformance. OPINION: available. SENTIMENT: positive #####  . the hard drive has crashed a number of times but a system restore is available and it ' s very easy to do . ##### EAEO
ASPECT: purchase, chromebook. CATEGORY: laptop general, laptop price. OPINION: pleased, worth. SENTIMENT: positive, positive #####  . i am very pleased with this purchase and feel that this chromebook is worth the investment . ##### EAEO
ASPECT: battery life. CATEGORY: battery operationperformance. OPINION: null. SENTIMENT: negative #####  . battery life is only about 4 hours , not 10 + as advertised . ##### EAIO
ASPECT: wifi. CATEGORY: ports operationperformance. OPINION: fast. SENTIMENT: positive #####  . wifi is lightning fast . ##### EAEO
ASPECT: chromebook, chromebook. CATEGORY: laptop general, laptop general. OPINION: impressed, recommend. SENTIMENT: positive, positive #####  . i am very impressed with this chromebook and highly recommend it . ##### EAEO
ASPECT: keyboard, touchpad. CATEGORY: keyboard general, hardware operationperformance. OPINION: exceptional, exceptional. SENTIMENT: positive, positive #####  . exceptional keyboard and touchpad . ##### EAEO
ASPECT: battery life. CATEGORY: battery general. OPINION: great. SENTIMENT: positive #####  . the battery life is great . ##### EAEO
ASPECT: null. CATEGORY: laptop designfeatures. OPINION: light. SENTIMENT: positive #####  . it ' s light which is a plus since i carry it to school . ##### IAEO
ASPECT: null. CATEGORY: laptop operationperformance. OPINION: fast. SENTIMENT: positive #####  . i ' m not a gamer but it does have a dedicated video card which makes sense as it does make it much faster for video editing . ##### IAEO
ASPECT: ssd drive. CATEGORY: harddisc operationperformance. OPINION: null. SENTIMENT: negative #####  . the ssd drive is not a solid state drive . ##### EAIO
ASPECT: null. CATEGORY: laptop general. OPINION: null. SENTIMENT: positive #####  . i will tell you what it does cover : ##### IAIO
ASPECT: msi, laptop. CATEGORY: company general, laptop general. OPINION: not too happy, not too happy. SENTIMENT: negative, negative #####  . not too happy with msi and this laptop . ##### EAEO
ASPECT: asus customer support. CATEGORY: support operationperformance. OPINION: null. SENTIMENT: negative #####  . asus customer support seems to want to make this an accidental damage instead of the warranty covering it . ##### EAIO
ASPECT: null. CATEGORY: laptop general. OPINION: null. SENTIMENT: neutral #####  . i ' m seeing a lot of reviews saying that the computer is awesome , the computer is great , the computer is perfect for their needs , etc . ##### IAIO
ASPECT: keyboard, tablet. CATEGORY: keyboard designfeatures, laptop designfeatures. OPINION: nice, great. SENTIMENT: positive, positive #####  . nice keyboard and the tablet looks great . ##### EAEO
ASPECT: chromebook. CATEGORY: laptop usability. OPINION: null. SENTIMENT: neutral #####  . if you ' re going to be doing a lot of heavy lifting , this might not be the chromebook for you . ##### EAIO
ASPECT: laptop, keyboard, screen resolution. CATEGORY: laptop general, keyboard general, display general. OPINION: love, love, love. SENTIMENT: positive, positive, positive #####  . i love my laptop , the keyboard is great and the screen resolution is great . ##### EAEO
ASPECT: computer. CATEGORY: laptop general. OPINION: null. SENTIMENT: neutral #####  . this computer will be for school , netflix and youtube mostly . ##### EAIO
ASPECT: null. CATEGORY: laptop operationperformance. OPINION: null. SENTIMENT: negative #####  . it would power on , start to boot , then abruptly power down . ##### IAIO
ASPECT: screen. CATEGORY: display general. OPINION: good. SENTIMENT: positive #####  . good screen , takes some getting used to . ##### EAEO
ASPECT: hardware, software. CATEGORY: hardware general, software general. OPINION: well, well. SENTIMENT: positive, positive #####  . my review is based on the fact that the hardware and software are both well designed and work together well . ##### EAEO
ASPECT: device. CATEGORY: laptop quality. OPINION: unacceptable. SENTIMENT: negative #####  . my old device ( asus vivobook 15 ) had a battery life of 8 hours and this one is going on 3 hours , i can ' t even begin to justify this as an acceptable decrease in performance . ##### EAEO
ASPECT: intel m3 processor, google play store. CATEGORY: cpu operationperformance, software general. OPINION: amazing, nice. SENTIMENT: positive, positive #####  . intel m3 processor is amazing and nice google play store makes this chrome book compatible with so many android apps . ##### EAEO
ASPECT: null. CATEGORY: laptop general. OPINION: fantastic. SENTIMENT: positive #####  . it is fantastic for the things that i need a computer for . ##### IAEO
ASPECT: customer service. CATEGORY: support operationperformance. OPINION: null. SENTIMENT: negative #####  . - the customer service told me that i ' d have to buy a new one , item is still under warranty . ##### EAIO
ASPECT: null, null, null. CATEGORY: laptop general, laptop designfeatures, laptop designfeatures. OPINION: happy, aesthetically, pleasing. SENTIMENT: positive, positive, positive #####  . i am very happy with this purchase , it looks aesthetically pleasing , and is the perfect size for traveling and working on the go . ##### IAEO
ASPECT: chrome os. CATEGORY: os general. OPINION: null. SENTIMENT: neutral #####  . chrome os is like the chrome browser + apps taken up a level . ##### EAIO
ASPECT: seller. CATEGORY: support general. OPINION: null. SENTIMENT: negative #####  . the seller doesn ' t reply my e - mails . ##### EAIO
ASPECT: null. CATEGORY: laptop general. OPINION: null. SENTIMENT: negative #####  . i made the mistake of thinking it was new . ##### IAIO
ASPECT: computer, battery life. CATEGORY: laptop operationperformance, battery quality. OPINION: great, fantastic. SENTIMENT: positive, positive #####  . the computer performs great and the battery life is fantastic . ##### EAEO
ASPECT: computer. CATEGORY: laptop quality. OPINION: high. SENTIMENT: positive #####  . this computer is part of my business and i would never want any computer other than this one because of the quality , reliability and the simplicity of the operating system . ##### EAEO
ASPECT: null. CATEGORY: multimediadevices operationperformance. OPINION: low. SENTIMENT: negative #####  . Another problem that i have is the volume is very low and i have to rely on the speakers being unplugged and using headphones which is fine but just the volume being low is a problem . ##### IAEO
ASPECT: chrome apps. CATEGORY: software quality. OPINION: null. SENTIMENT: positive #####  . with chrome apps , i can use google docs to edit a word document , create a spreadsheet or make a presentation . ##### EAIO
ASPECT: weight. CATEGORY: laptop designfeatures. OPINION: reasonable. SENTIMENT: positive #####  . the weight is reasonable . ##### EAEO
ASPECT: machine. CATEGORY: laptop general. OPINION: defective. SENTIMENT: negative #####  . if you get a defective machine , there is no local tech support . ##### EAEO
ASPECT: null. CATEGORY: laptop operationperformance. OPINION: fast. SENTIMENT: positive #####  . it is fast and lightweight . ##### IAEO
ASPECT: apple updates. CATEGORY: software usability. OPINION: easy. SENTIMENT: positive #####  . with apple updates it is easy to add new apps and keep what you have running smooth . ##### EAEO
ASPECT: battery, screen. CATEGORY: battery general, display designfeatures. OPINION: good, sharp. SENTIMENT: positive, positive #####  . a good battery and sharp screen are what i needed . ##### EAEO
ASPECT: samsung chromebook. CATEGORY: laptop price. OPINION: inexpensive. SENTIMENT: positive #####  . this makes the samsung chromebook an inexpensive option for web browsing and more simple apps . ##### EAEO
ASPECT: macbook. CATEGORY: laptop general. OPINION: love. SENTIMENT: positive #####  . i absolutely love this macbook . ##### EAEO
ASPECT: screen. CATEGORY: display general. OPINION: weird. SENTIMENT: negative #####  . screen has a weird smell . ##### EAEO
ASPECT: size. CATEGORY: laptop designfeatures. OPINION: perfect. SENTIMENT: positive #####  . the size is perfect . ##### EAEO
ASPECT: null, null. CATEGORY: laptop operationperformance, laptop operationperformance. OPINION: disappointed, slow. SENTIMENT: negative, negative #####  . i bought this as a gift and was incredibly disappointed as it is very slow . ##### IAEO
ASPECT: null, null. CATEGORY: laptop operationperformance, laptop operationperformance. OPINION: great, perfectly. SENTIMENT: positive, positive #####  . it works great and is exactly the same as the macbook pro world is to . ##### IAEO
ASPECT: null. CATEGORY: laptop general. OPINION: garbage. SENTIMENT: negative #####  . this is a piece of garbage . ##### IAEO
ASPECT: graphic. CATEGORY: graphics operationperformance. OPINION: null. SENTIMENT: positive #####  . - graphic issues : i ' m not sure if this is just me , but i ' m assuming not . ##### EAIO
ASPECT: display, track pad. CATEGORY: display quality, keyboard general. OPINION: loving, loving. SENTIMENT: positive, positive #####  . i am loving the display and the track pad . ##### EAEO
ASPECT: msi, msi. CATEGORY: laptop operationperformance, laptop price. OPINION: liked, decent. SENTIMENT: positive, positive #####  . i liked this one because it had a decent price and some good features from the brand msi . ##### EAEO
ASPECT: book, book. CATEGORY: laptop general, laptop price. OPINION: good, great. SENTIMENT: positive, positive #####  . this is a good book and great value for money . ##### EAEO
ASPECT: null. CATEGORY: display general. OPINION: love. SENTIMENT: positive #####  . i love the way it looks and the amount of brightness it puts out . ##### IAEO
ASPECT: processor. CATEGORY: cpu operationperformance. OPINION: null. SENTIMENT: neutral #####  . while the processor doesn ' t get too hot , it also doesn ' t get too fast either . ##### EAIO
ASPECT: backlight, keyboard. CATEGORY: keyboard designfeatures, keyboard designfeatures. OPINION: null, null. SENTIMENT: negative, negative #####  . no backlight and the keyboard is not lit - this is a make or break for me . ##### EAIO
ASPECT: null. CATEGORY: laptop operationperformance. OPINION: well. SENTIMENT: positive #####  . it has served me very well ever since . ##### IAEO
ASPECT: null. CATEGORY: laptop portability. OPINION: null. SENTIMENT: positive #####  . i can bring it anywhere because of how small it is : $ ##### IAIO
ASPECT: ram. CATEGORY: hardware general. OPINION: available. SENTIMENT: positive #####  . there is actually available ram under the hood . ##### EAEO
ASPECT: laptop. CATEGORY: laptop general. OPINION: nice. SENTIMENT: positive #####  . this is a nice laptop . ##### EAEO
ASPECT: null. CATEGORY: laptop general. OPINION: well. SENTIMENT: positive #####  . i think it works well except for the wifi which is spotty . ##### IAEO
ASPECT: macbook pro. CATEGORY: laptop operationperformance. OPINION: dependable. SENTIMENT: positive #####  . you can depend on a macbook pro to work when you need it . ##### EAEO
ASPECT: computer. CATEGORY: laptop general. OPINION: null. SENTIMENT: positive #####  . this computer lives up to its expectations . ##### EAIO
ASPECT: customer support, google. CATEGORY: support general, support general. OPINION: null, null. SENTIMENT: negative, negative #####  . customer support is not an option as they do not respond to requests for help . i have also read that google does not honor their warranty claims . ##### EAIO
ASPECT: speakers. CATEGORY: multimediadevices general. OPINION: better. SENTIMENT: positive #####  . the new speakers are much better . ##### EAEO
ASPECT: chrome os. CATEGORY: os operationperformance. OPINION: null. SENTIMENT: negative #####  . chrome os is not ready for prime time use . ##### EAIO
ASPECT: macbook. CATEGORY: laptop usability. OPINION: great. SENTIMENT: positive #####  . this macbook has been great for everything i ' ve done . ##### EAEO
ASPECT: null. CATEGORY: laptop designfeatures. OPINION: like. SENTIMENT: positive #####  . i like the size but dislike the battery life . ##### IAEO
ASPECT: android app support. CATEGORY: software quality. OPINION: null. SENTIMENT: negative #####  . - android app support is lip service only . ##### EAIO
ASPECT: battery life. CATEGORY: battery operationperformance. OPINION: great. SENTIMENT: positive #####  . the battery life is great ( i get about 9 hours ) . ##### EAEO
ASPECT: screen protector, screen protector. CATEGORY: display operationperformance, display operationperformance. OPINION: nice, fitted. SENTIMENT: positive, positive #####  . a nice fitted screen protector is included . ##### EAEO
ASPECT: screen. CATEGORY: display general. OPINION: fantastic. SENTIMENT: positive #####  . this screen is fantastic . ##### EAEO
ASPECT: screen. CATEGORY: display quality. OPINION: null. SENTIMENT: negative #####  . the screen turns black and won ' t turn on within a month rarely use . ##### EAIO
ASPECT: null. CATEGORY: laptop operationperformance. OPINION: null. SENTIMENT: negative #####  . it stopped working after only 6 months of use . ##### IAIO
ASPECT: i5 mobile processor. CATEGORY: cpu general. OPINION: null. SENTIMENT: neutral #####  . i5 mobile processor , 4gb of ram and 32gb of storage . ##### EAIO
ASPECT: aluminum shell, aluminum shell, keyboard, keyboard. CATEGORY: laptop designfeatures, laptop designfeatures, laptop designfeatures, laptop designfeatures. OPINION: nice, attractive, decent, better. SENTIMENT: positive, positive, positive, positive #####  . the aluminum shell is nice and attractive , the keyboard is decent , but this one has a better keyboard . ##### EAEO
ASPECT: screen. CATEGORY: display designfeatures. OPINION: awkward. SENTIMENT: negative #####  . - the screen is a weird aspect ratio , so it doesn ' t really fit any standard or even most mobile apps . ##### EAEO
ASPECT: prodcut. CATEGORY: laptop general. OPINION: great. SENTIMENT: positive #####  . this is a great prodcut . ##### EAEO
ASPECT: touch screen. CATEGORY: display general. OPINION: null. SENTIMENT: negative #####  . the touch screen never seemed to work properly and now i understand why . ##### EAIO
ASPECT: chromebook. CATEGORY: laptop general. OPINION: null. SENTIMENT: neutral #####  . this is something to reconsidered if one to buy the chromebook for doing homework and a lot of typing . ##### EAIO
ASPECT: chromebook. CATEGORY: laptop general. OPINION: best. SENTIMENT: positive #####  . this chromebook is one of the best i ' ve ever bought or used . ##### EAEO
ASPECT: return policy. CATEGORY: support general. OPINION: excellent. SENTIMENT: positive #####  . the return policy is excellent . ##### EAEO
ASPECT: disk, laptop. CATEGORY: harddisc quality, laptop quality. OPINION: null, null. SENTIMENT: negative, negative #####  . the disk on this laptop is a dud and the tech at the local apple isied is no better . ##### EAIO
ASPECT: macbook. CATEGORY: laptop general. OPINION: null. SENTIMENT: positive #####  . this is my first ever macbook and i will never go back . ##### EAIO
ASPECT: null, null. CATEGORY: laptop general, laptop general. OPINION: fun, valuable. SENTIMENT: positive, positive #####  . it ' s fun to use and is definitely a valuable investment . ##### IAEO
ASPECT: asus c302. CATEGORY: laptop general. OPINION: null. SENTIMENT: positive #####  . the asus c302 is everything i hoped for and more . ##### EAIO
ASPECT: screen hinge. CATEGORY: hardware designfeatures. OPINION: weak. SENTIMENT: negative #####  . the screen hinge is weak . ##### EAEO
ASPECT: speaker sound, speaker sound. CATEGORY: multimediadevices general, multimediadevices general. OPINION: ok, not great. SENTIMENT: neutral, neutral #####  . the speaker sound is ok , but not great . ##### EAEO
ASPECT: laptops. CATEGORY: laptop general. OPINION: null. SENTIMENT: positive #####  . i ' m wanting to buy more laptops for my business and these are the only laptops i ' m considering after doing my research . ##### EAIO
ASPECT: null. CATEGORY: laptop operationperformance. OPINION: faster. SENTIMENT: positive #####  . i love the screen quality and it does indeed make scrolling a pleasure as opposed to the choppy scrolling of my old 15 ` ` laptop that is significantly slower . ##### IAEO
ASPECT: keyboard. CATEGORY: keyboard designfeatures. OPINION: null. SENTIMENT: neutral #####  . the keyboard takes up more than 1 / 3rd of the palm - area horizontal space and makes touch typing extremely difficult . ##### EAIO
ASPECT: laptop. CATEGORY: powersupply general. OPINION: null. SENTIMENT: negative #####  . i loved this laptop from the moment i opened it , but the 1 day it stopped charging halfway through the day ( ?! ) this laptop became a paperweight until i can get it repaired . ##### EAIO
ASPECT: battery, battery life. CATEGORY: battery general, battery general. OPINION: great, great. SENTIMENT: positive, positive #####  . the battery life is great . ##### EAEO
ASPECT: backlight, keys. CATEGORY: keyboard designfeatures, keyboard designfeatures. OPINION: stiff, stiff. SENTIMENT: negative, negative #####  . the backlight on the keys is stiff and the keys are stiff . ##### EAEO
ASPECT: keyboard. CATEGORY: keyboard operationperformance. OPINION: null. SENTIMENT: negative #####  . keyboard just stopped working in the middle of my paper i was writing . ##### EAIO
ASPECT: null. CATEGORY: powersupply operationperformance. OPINION: null. SENTIMENT: positive #####  . i ' ve used it daily for nearly eight months and it ' s never missed a beat or run out of power when i needed it most . ##### IAIO
ASPECT: laptop. CATEGORY: laptop operationperformance. OPINION: well. SENTIMENT: positive #####  . i am very much in the causal gamer category , and this laptop has handled all of the games i have thrown at it ( except maybe destiny 2 , but that is more of a pc requirements issue ) . ##### EAEO
ASPECT: null, null. CATEGORY: hardware operationperformance, hardware operationperformance. OPINION: glitchy, barely usable. SENTIMENT: negative, negative #####  . the game was so glitchy and poorly optimized that it was barely usable . ##### IAEO
ASPECT: os. CATEGORY: os general. OPINION: null. SENTIMENT: negative #####  . the laptop is great for web browsing and streaming videos but i had some issues with the os for things like right - clicking to select items on the desktop . ##### EAIO
ASPECT: null. CATEGORY: laptop general. OPINION: null. SENTIMENT: positive #####  . i ' ve been using it for almost three weeks now and every time i turn it on , i ' m still blown away ! ##### IAIO
ASPECT: computer. CATEGORY: laptop general. OPINION: null. SENTIMENT: positive #####  . this computer is absolutely everything i imagined . ##### EAIO
ASPECT: customer support. CATEGORY: support general. OPINION: no good. SENTIMENT: negative #####  . the customer support is no good . ##### EAEO
ASPECT: fingerprint reader. CATEGORY: hardware general. OPINION: null. SENTIMENT: negative #####  . the only problem is the fingerprint reader , which is something i use every day . ##### EAIO
ASPECT: delivery, usps. CATEGORY: shipping general, shipping general. OPINION: off, suck. SENTIMENT: negative, negative #####  . delivery off by an hour , and usps sucked . ##### EAEO
ASPECT: battery. CATEGORY: battery operationperformance. OPINION: null. SENTIMENT: positive #####  . the battery lasts for quite some time . ##### EAIO
ASPECT: trackpad. CATEGORY: keyboard quality. OPINION: delicate. SENTIMENT: negative #####  . trackpad is delicate . ##### EAEO
ASPECT: laptop. CATEGORY: laptop general. OPINION: null. SENTIMENT: positive #####  . i ' ve had this laptop for about a month and every time i turn it on , i ' m still blown away ! ##### EAIO
ASPECT: verified purchase. CATEGORY: support general. OPINION: null. SENTIMENT: neutral #####  . this is a verified purchase . ##### EAIO
ASPECT: chip. CATEGORY: keyboard designfeatures. OPINION: null. SENTIMENT: negative #####  . no backlighting and only one color available , but i suppose you can live with those if you are able to look past the terrible , uncomfortable feel of the key stroke and the cheap, plasticky sound of the key travel . ##### EAIO
